place_name,alternate_names,state,country,latitude,longitude,timezone_hours,altitude/elevation
Sant Julia de Loria,San Julia|Sant Julia de Loria|Sant-Zhulia-de-Lorija|Sant-Zhulija-de-Lorija|sainta juli'a di lori'a|sant jwlya dy lwrya|santa juliya di loriya|sheng hu li ya-de luo li ya,Sant Julià de Loria,Andorra,42.46372,1.49129,1.0,921.0
Ordino,Ordino|ao er di nuo|ardino|ardynw|awrdynw|oradino|ordino|orudino jiao qu,Ordino,Andorra,42.55623,1.53319,1.0,1296.0
les Escaldes,Ehskal'des-Ehndzhordani|Ehskal'des-Ehngordani|Escaldes|Escaldes-Engordany|Les Escaldes|aisakaladesa-inagoradani|askalds-angwrdany|askaldys-anjwrdany|esakaladesa-enagordani|eskaladesa-enagordani|esukarudesu=engorudani jiao qu|lai sai si ka er de-en ge er da,Escaldes-Engordany,Andorra,42.50729,1.53414,1.0,1033.0
la Massana,La Macana|La Massana|La-Massana|la Massana|la masana|ma sa na,La Massana,Andorra,42.54499,1.51483,1.0,1245.0
Encamp,Ehnkam|Ehnkamp|Encamp|ainakaimpa|ankamb|ankmp|ankymp|en kan pu|enakaimpa|enakyampa|enkanpu jiao qu,Encamp,Andorra,42.53474,1.58014,1.0,1257.0
Canillo,Canillo|Kanil'o|ka ni e|kainilo|kanilo|kaniryo jiao qu|kanylw|knylw|kyanilo,Canillo,Andorra,42.5676,1.59756,1.0,1561.0
Andorra la Vella,ALV|Ando-la-Vyey|Andora|Andora la Vela|Andora la Velja|Andora lja Vehl'ja|Andoro Malnova|Andorra|Andorra Tuan|Andorra a Vella|Andorra la Biella|Andorra la Vella|Andorra la Vielha|Andorra-a-Velha|Andorra-la-Vel'ja|Andorra-la-Vielye|Andorre-la-Vieille|an dao er cheng|andolalabeya|andwra la fyla,Andorra la Vella,Andorra,42.50779,1.52109,1.0,1037.0
Warisan,Warisan|Warsan|wrsan,Dubai,United Arab Emirates,25.16744,55.40708,4.0,12.0
Umm Suqaym,Umm Suqaym|Umm Suqeim|Umm Suqeim 2|Umm as Suqaym|am sqym,Dubai,United Arab Emirates,25.15491,55.21015,4.0,1.0
Umm Al Quwain City,Oumm al Qaiwain|Um al Kawain|Um al Quweim|Umm Al Quwain|Umm Al Quwain City|Umm al Qaiwain|Umm al Qawain|Umm al Qaywayn|Umm al-Quwain|Umm-al'-Kuvejn|Umm-ehl'-Kajvajn|Yumul al Quwain|am alqwyn|am alqywn|am alqywyn|mdynt am alqywyn|um'ma ala ku'oya'ina|um'ma ala quvaina|uma ala kuvaina,Umm Al Quwain,United Arab Emirates,25.56473,55.55517,4.0,2.0
Tarif Kalba,Tarif Kalba,Fujairah,United Arab Emirates,25.0695,56.33115,4.0,10.0
Ar Rashidiyah,Al Rashidiya|Ar Rashidiyah|Rashdia|Rashidiyah|alrashdyt,Dubai,United Arab Emirates,25.22499,55.38947,4.0,10.0
